,sheep_grains_beef_and_dairy_cattle,poultry_and_other_livestock,other_agriculture,aquaculture,forestry_and_logging,fishing_hunting_and_trapping,agriculture_forestry_and_fishing_support_services,coal_mining,oil_and_gas_extraction,iron_ore_mining,non-ferrous_metal_ore_mining,non-metallic_mineral_mining,exploration_and_mining_support_services,meat_and_meat_product_manufacturing,processed_seafood_manufacturing,dairy_product_manufacturing,fruit_and_vegetable_product_manufacturing,oils_and_fats_manufacturing,grain_mill_and_cereal_product_manufacturing,bakery_product_manufacturing,sugar_and_confectionery_manufacturing,other_food_product_manufacturing,soft_drinks_cordials_and_syrup_manufacturing,beer_manufacturing,wine_spirits_and_tobacco,textile_manufacturing,tanned_leather_dressed_fur_and_leather_product_manufacturing,textile_product_manufacturing,knitted_product_manufacturing,clothing_manufacturing,footwear_manufacturing,sawmill_product_manufacturing,other_wood_product_manufacturing,pulp_paper_and_paperboard_manufacturing,paper_stationery_and_other_converted_paper_product_manufacturing,printing_(including_the_reproduction_of_recorded_media),petroleum_and_coal_product_manufacturing,human_pharmaceutical_and_medicinal_product_manufacturing,veterinary_pharmaceutical_and_medicinal_product_manufacturing,basic_chemical_manufacturing,cleaning_compounds_and_toiletry_preparation_manufacturing,polymer_product_manufacturing,natural_rubber_product_manufacturing,glass_and_glass_product_manufacturing,ceramic_product_manufacturing,cement_lime_and_ready-mixed_concrete_manufacturing,plaster_and_concrete_product_manufacturing,other_non-metallic_mineral_product_manufacturing,iron_and_steel_manufacturing,basic_non-ferrous_metal_manufacturing,forged_iron_and_steel_product_manufacturing,structural_metal_product_manufacturing,metal_containers_and_other_sheet_metal_product_manufacturing,other_fabricated_metal_product_manufacturing,motor_vehicles_and_parts;_other_transport_equipment_manufacturing,ships_and_boat_manufacturing,railway_rolling_stock_manufacturing,aircraft_manufacturing,professional_scientific_computer_and_electronic_equipment_manufacturing,electrical_equipment_manufacturing,domestic_appliance_manufacturing,specialised_and_other_machinery_and_equipment_manufacturing,furniture_manufacturing,other_manufactured_products,electricity_generation,electricity_transmission_distribution_on_selling_and_electricity_market_operation,gas_supply,water_supply_sewerage_and_drainage_services,waste_collection_treatment_and_disposal_services,residential_building_construction,non_residential_building_construction,heavy_and_civil_engineering_construction,construction_services,wholesale_trade,retail_trade,accommodation,food_and_beverage_services,road_transport,rail_transport,water_pipeline_and_other_transport,air_and_space_transport,postal_and_courier_pick-up_and_delivery_service,transport_support_services_and_storage,publishing_(except_internet_and_music_publishing),motion_picture_and_sound_recording,broadcasting_(except_internet),internet_service_providers_internet_publishing_and_broadcasting_websearch_portals_and_data_processing,telecommunication_services,library_and_other_information_services,finance,insurance_and_superannuation_funds,auxiliary_finance_and_insurance_services,rental_and_hiring_services_(except_real_estate),imputed_rent_for_owner-occupiers,actual_rent_for_housing,non-residential_property_operators_and_real_estate_services,professional_scientific_and_technical_services,computer_systems_design_and_related_services,employment_travel_agency_and_other_administrative_services,building_cleaning_pest_control_and_other_support_services,public_administration_and_regulatory_services,defence,public_order_and_safety,primary_and_secondary_education_services_(including_pre-schools_and_special_schools),technical_vocational_and_tertiary_education_services_(including_undergraduate_and_postgraduate),arts_sports_adult_and_other_education_services_(including_community_education),health_care_services,residential_care_and_social_assistance_services,heritage_creative_and_performing_arts,sports_and_recreation,gambling,automotive_repair_and_maintenance,other_repair_and_maintenance,personal_services,other_services,Total Industry Uses,Households ; Final Consumption Expenditure,General Government ; Final Consumption Expenditure,Private ; Gross Fixed Capital Formation,Public Corporations ; Gross Fixed Capital Formation,General Government ; Gross Fixed Capial Formation,Changes in Inventories,Exports of Goods and Services,Final Uses (Q1 to Q7),Total Supply
bakery_product_manufacturing,6.1173,2.3072,3.2708,0.8544,0.078,0.4772,1.1547,14.4904,4.3405,11.234,35.7736,1.4322,17.595,4.5188,0.743,36.2878,27.6821,2.2837,18.499,210.3555,48.3921,67.5225,4.0899,3.4327,0.5357,0.0137,0.0249,1.4679,0.0045,0.0492,0.0339,0.3157,0.9566,1.787,2.611,0.8014,11.6542,1.37,0.1508,4.4726,2.2187,2.1686,2.3052,0.6191,0.2372,0.9673,0.2924,0.1536,2.216,0.2023,0.4689,2.8294,0.9087,2.1516,0.9548,2.0943,1.3184,2.7978,1.7292,5.0358,0.2615,2.9651,1.1843,0.142,0.5423,0.9546,2.4415,2.4937,19.3604,4.2342,1.8931,2.6085,20.0225,37.3735,178.1919,79.1854,1020.1629,2.2457,1.4363,5.6014,0.3082,3.6843,1.005,0.2872,0.6873,0.0879,0.7116,0.8883,0.0041,0.4371,0.2785,0.5235,1.7357,0.0799,0.0245,1.5509,25.1446,0.7128,5.303,3.7844,9.8611,49.7796,22.9065,54.1408,80.223,6.9006,52.1435,219.6373,1.5864,5.4363,20.8373,2.2901,2.7223,5.7997,4.024,2549.6792,5890.8934,0.0042,30.0961,0.563,6.7028,215.0227,491.0386,6634.3208,9184
sugar_and_confectionery_manufacturing,9.0388,2.837,3.7687,1.9444,0.0382,0.7177,0.9668,14.7381,20.8987,11.6624,53.4274,2.1079,3.8187,1.8577,3.6928,157.5423,22.4615,3.8251,145.4128,445.0185,1173.0515,591.0526,268.0965,40.5726,16.387,0.0166,0.0196,0.4712,0.0264,0.1038,0.0832,0.402,1.6407,0.7353,1.6719,0.9429,5.6367,10.77,0.0128,2.6441,4.8664,3.2099,0.1398,0.6505,0.324,3.6773,1.1517,0.1097,2.244,2.7407,0.0902,3.3836,1.106,2.7506,2.0888,2.0342,0.4214,0.4516,1.8708,1.5649,0.5766,1.7891,0.9039,1.7655,2.8233,6.3346,1.18,3.1149,1.0624,19.1258,4.5208,15.1168,38.5972,27.7616,107.4984,126.9456,918.1658,14.896,4.2027,2.1393,1.4794,6.6617,12.2109,4.7269,2.9641,0.17,21.4385,16.7531,0.0403,11.6674,7.5132,20.6651,5.8532,11.3069,3.4042,13.6381,96.0264,31.045,29.5132,19.662,18.8447,34.2474,27.0785,20.3796,21.6222,1.9732,29.364,228.2569,10.0455,30.4082,25.634,4.9919,12.1826,9.2486,0.645,5145.1711,3198.3641,0.7089,96.1114,10.7257,38.4845,-52.9813,2311.4155,5602.8289,10748
other_food_product_manufacturing,791.4225,446.0852,7.0535,95.2532,0.5537,13.7915,20.3011,7.7895,15.6884,4.7148,13.4199,1.1265,9.9377,21.2956,3.6397,245.5641,170.926,15.9883,100.5998,453.2816,186.8017,671.1327,13.5743,3.2811,2.4578,0.0888,0.1926,1.5787,0.0302,0.3175,0.2152,1.982,3.7917,0.7396,1.4294,1.3483,1.4615,2.8746,2.7604,32.196,10.6105,2.2778,0.2458,0.8355,0.3627,1.5901,1.1256,0.4562,2.9014,1.7615,0.2664,5.1006,0.9214,3.2896,4.3923,1.8012,0.8543,2.0439,4.8022,2.1498,0.8367,8.5041,2.72,0.6178,1.5956,2.2937,1.1738,2.914,26.7043,24.2986,12.065,9.6638,62.4696,52.1345,295.3089,65.3755,535.093,9.4443,1.3823,0.4583,1.8569,3.9143,2.039,1.6412,8.6896,0.5259,2.3961,3.7708,0.0262,2.4846,2.0013,1.843,2.2065,0.5303,0.1621,2.1281,15.9872,2.5807,6.5875,4.3949,31.0756,72.9362,59.8619,36.2294,46.0618,3.3486,85.3714,348.8519,35.0349,497.4577,40.1451,11.8058,11.752,39.8342,3.0825,5918.1446,6130.5829,0,107.5278,2.9916,21.2926,360.3945,1969.066,8591.8554,14510
soft_drinks_cordials_and_syrup_manufacturing,4.1184,0.758,1.5474,1.1084,0.102,0.4401,1.1071,6.2305,9.8661,3.0411,11.9433,0.9199,0.8058,0.7916,0.0921,29.4082,26.4252,2.528,1.3659,5.6863,5.9842,10.3678,20.0825,0.1625,1.2942,0.0168,0.028,1.0189,0.0007,0.0915,0.0644,0.1389,1.1877,0.284,1.2869,1.1138,1.5916,0.6955,0.0384,1.2553,0.8071,1.3154,0.4609,0.2843,0.1636,0.7597,0.5387,0.085,2.2256,0.1596,0.0802,1.8752,0.2955,0.9569,1.8047,1.3706,0.4643,0.6861,1.3867,0.3336,0.1058,1.6637,0.5892,0.4197,1.1766,2.644,0.5471,0.955,0.6783,10.0535,3.9266,10.4862,28.8599,5.2228,7.2558,3.191,25.3983,3.8737,0.9569,0.2657,0.5505,1.5567,4.6653,0.5296,0.2983,0.1382,7.6332,1.4846,0.0105,1.9918,2.2892,2.5431,2.0462,1.0957,0.3305,3.6204,12.9607,5.4612,5.6801,4.1344,3.443,10.8081,3.4746,2.7136,3.0822,0.3313,13.3784,25.3871,0.7696,8.9745,12.2715,4.1566,10.1878,2.8915,5.7838,445.9868,5308.9491,0.0218,36.7352,1.2974,8.1884,21.7167,522.1048,5899.0132,6345
beer_manufacturing,5.2543,0.1713,1.0899,0.1347,0.0049,0.0155,1.1214,2.0994,2.0075,0.757,3.2741,0.6711,0.0938,0.0458,0.0627,0.2279,0.1721,0.1855,0.1243,0.2484,0.2891,0.2774,0.4693,4.0019,0.1837,0.001,0.0019,0.7447,0.0001,0.011,0.0083,0.0127,0.6972,0.7565,0.0998,0.3993,0.0773,0.1278,0.0016,0.1637,0.0391,0.8761,0.008,0.214,0.1975,0.2758,0.2591,0.1417,1.1624,0.068,0.0054,0.9004,0.0398,0.1006,0.1896,0.9107,0.0462,0.0185,0.2168,0.035,0.0136,0.8107,0.0631,0.4565,0.0157,0.1424,0.0052,0.5405,0.029,1.3417,0.3088,1.0649,2.5195,3.5394,3.9716,117.9994,588.0243,1.1954,0.8086,0.0458,3.9739,0.1428,0.1106,0.0338,0.0149,0.0123,2.1525,0.1246,0.0018,6.8059,0.0954,0.1819,1.2345,0.004,0.0012,1.4732,3.5843,1.3876,1.8764,0.6883,7.0245,6.7717,1.0712,0.2661,3.5199,0.778,0.8138,2.1906,0.0175,1.4138,9.1755,1.5451,0.5382,1.4414,0.5132,815.6667,3403.2029,0.0063,11.6283,0.12,2.8821,-0.5805,211.0741,3628.3333,4444
wine_spirits_and_tobacco,5.1978,1.0168,2.1546,1.4334,0.1282,0.3447,1.3574,6.5324,6.8064,3.2936,15.5859,1.6826,1.3553,1.7003,0.1946,1.6259,1.7123,0.6967,1.674,1.2403,2.4571,2.1329,1.9218,0.3798,80.8367,0.0273,0.0741,2.0043,0.0012,0.1432,0.1042,0.7895,1.3998,1.6218,1.9299,1.4518,3.0494,8.8017,0.0725,9.5378,1.1065,13.71,0.7921,2.1705,0.456,2.7197,1.8006,0.5387,2.5096,0.8114,0.1425,3.2867,0.993,2.7431,2.5981,1.9536,0.7411,0.8767,2.5633,0.577,0.2335,2.4701,1.2689,1.4146,1.186,2.8596,0.4719,4.9775,0.8177,11.4873,6.1716,7.9276,32.2058,7.6194,5.8685,35.6682,326.2194,4.4912,0.9441,0.445,2.9577,1.6728,1.9391,0.8159,0.3441,0.1512,16.6239,1.1033,0.0173,13.3365,1.1704,1.3175,2.9764,0.1326,0.0404,5.5886,22.6044,10.5154,10.8654,4.1637,15.9407,2.4356,3.5219,3.4635,9.9621,0.5653,9.768,5.5019,0.3906,1.589,6.3476,6.5912,8.613,2.087,0.3385,847.7605,3842.3092,1.4859,35.3807,0.8521,7.5433,510.1896,1716.4788,6114.2395,6962
textile_manufacturing,0.1388,0.0141,0.0969,0.1041,0.0054,0.089,0.0636,0.6371,0.1222,0.0421,1.0176,0.1533,0.0123,1.6432,0.0059,0.0717,0.036,0.0182,0.0391,0.0541,0.0687,0.0971,0.1722,0.051,0.0966,7.2083,0.0048,27.9304,0.0139,0.6476,0.0117,0.0426,3.6838,0.0593,3.1343,2.8963,0.4031,13.054,0.0637,4.0913,3.346,59.0734,0.0885,0.102,0.0058,0.0517,0.0471,0.9025,0.3952,0.0173,0.0082,0.2844,0.1993,0.4285,0.294,2.452,0.1451,0.7928,0.8616,5.4952,0.2714,0.717,5.3759,0.1503,0.0157,0.0207,0.0023,0.7853,0.1263,0.8228,0.6511,0.6311,2.9111,0.5663,1.091,0.115,0.3363,0.2647,0.0402,0.0211,0.023,0.0754,0.057,0.0412,0.0214,0.0094,0.0094,0.0757,0.0005,0.0361,0.0326,0.0407,0.1087,0.0447,0.014,2.0166,0.7502,0.1182,0.1001,0.0797,0.165,0.1534,0.1211,5.1774,2.4303,0.0188,1.6366,1.6617,0.0171,0.0615,0.046,0.1965,1.0367,0.142,0.0607,174.5816,16.4295,0.0021,2.2493,0.0396,0.5249,14.6044,204.5686,238.4184,413
tanned_leather_dressed_fur_and_leather_product_manufacturing,0.1445,0.0133,0.087,0.0101,0.0047,0.005,0.0383,0.0887,0.0467,0.0486,0.2128,0.0136,0.0138,0.4404,0.0098,0.0489,0.0481,0.0684,0.0388,0.0399,0.0448,0.079,0.0225,0.0103,0.0165,0.0044,17.7424,4.8111,0,0.006,0.6881,0.0246,0.0438,0.0135,0.0177,2.3667,0.0359,0.0233,0.0112,0.1004,0.0127,0.9895,0.2527,0.0205,0.0069,0.0382,0.084,0.0387,0.0354,0.0215,0.0146,0.0704,0.0215,0.3625,0.1472,0.2412,0.1666,0.0253,1.6557,0.0498,0.0259,0.1584,16.0968,1.2366,0.0174,0.0263,0.005,0.021,0.0418,0.7775,0.1352,0.1486,1.2504,86.0614,0.8269,0.0499,0.5674,0.1651,0.0591,0.3629,0.0525,0.17,0.1288,0.1207,0.3484,0.0183,0.0348,0.3338,0.0007,0.6267,0.6703,0.2074,0.3098,0.0051,0.0016,3.0979,2.4575,0.3297,0.4867,0.2714,0.4407,0.4902,0.1748,0.5031,0.2117,0.3652,0.3591,0.2218,0.3717,1.8245,0.4323,0.109,0.0949,0.3701,0.0158,155.4295,105.2103,0.0106,3.1988,0.1218,0.5957,3.8518,459.5815,572.5705,728
textile_product_manufacturing,3.9157,0.48,3.8946,2.1761,0.1893,2.2083,1.9074,3.5992,35.6387,3.6669,7.5398,0.4392,0.5395,5.8334,0.1975,3.3372,1.2228,0.7159,3.1504,2.0652,3.3016,4.9848,1.864,0.3228,0.5995,0.1407,0.1472,54.1414,0.0172,0.8397,0.1173,0.432,4.5254,0.3181,4.0821,5.2444,0.2735,1.0227,0.0619,8.5743,1.544,12.8598,0.2549,0.7349,0.2084,0.7808,2.4278,0.1986,4.1183,0.2733,0.1674,6.7666,0.6566,7.8445,8.258,14.1157,1.199,3.4613,3.9865,3.0637,0.4887,4.7989,17.2056,0.3641,0.4715,0.7194,0.0723,8.2281,9.2154,313.6213,273.995,27.1932,315.5767,24.1573,31.2794,4.9942,7.2822,19.9994,1.5672,1.0982,0.6089,3.211,0.8164,2.6925,0.6814,0.1574,0.5687,1.9581,0.007,1.1313,0.5928,0.8228,1.6734,0.4677,0.1367,0.8465,6.2533,0.6045,2.3015,2.86,5.514,8.8371,6.6643,15.8996,11.006,0.5949,19.3375,31.7276,0.7008,2.4262,2.1872,5.37,4.8445,7.8808,6.0701,1466.4284,1096.8284,0,388.5359,20.8923,304.4274,40.3662,171.5214,2022.5716,3489
knitted_product_manufacturing,0.0104,0.0011,0.0041,0.0038,0.0006,0.0056,0.0053,0.0102,0.0041,0.0056,0.0674,0.0014,0.0021,0.0037,0.0005,0.0046,0.0045,0.0014,0.0035,0.0045,0.0038,0.0078,0.0028,0.0006,0.0015,0.0004,0.0002,3.0134,0.019,1.0445,0.0003,0.0011,0.0045,0.001,0.0631,0.0535,0.0015,0.0026,0.0003,0.0066,0.0023,0.1111,0.0037,0.0018,0.0009,0.0027,0.0143,0.0005,0.0038,0.0005,0.0005,0.0105,0.0099,0.005,0.0689,0.0492,0.0072,0.4975,0.0378,0.0052,0.0078,0.055,2.7005,0.0369,0.0024,0.0038,0.0007,0.0026,0.0022,0.0437,0.0144,0.0117,0.0613,0.1631,1.0111,0.0054,0.0388,0.0142,0.0025,0.0016,0.0034,0.0081,0.0088,0.0564,0.0016,0.0007,0.0077,0.1216,0.0002,0.4882,0.4974,0.078,0.0079,0.0007,0.0002,0.0086,0.1536,0.1565,0.0678,0.0072,0.2162,0.0705,0.0734,0.376,0.1807,0.0068,0.4501,0.3564,0.0081,0.0138,0.0125,0.0246,0.2533,0.0131,0.0041,13.12,10.6808,0,1.4898,0.0754,0.2413,5.2915,6.1013,23.88,37
clothing_manufacturing,5.6569,0.636,2.2813,0.8025,0.3332,0.4246,2.6525,5.6673,2.3992,3.1228,8.4812,0.8085,0.9095,2.1913,0.2641,2.2261,2.1364,0.7035,1.5728,2.021,1.8031,3.5094,0.9662,0.308,0.6033,5.3783,1.4866,7.6222,0.0796,7.0993,0.5935,0.4828,1.8742,0.3823,1.2459,1.7431,0.5899,0.9167,0.1343,2.5847,0.5985,1.7264,0.1643,3.5364,0.2138,0.6398,0.5921,0.1807,1.7547,0.3072,0.1674,3.8214,0.7776,2.546,2.9741,1.1981,0.6181,1.4041,2.7047,0.9293,0.2558,5.2034,2.536,0.9971,0.9888,1.4019,0.1653,1.3707,2.3413,15.5164,7.3139,5.9598,30.6458,17.9671,16.2979,1.8571,11.0579,6.1627,1.1008,0.3962,1.1229,1.9973,0.8121,0.9431,0.5684,0.5003,0.6151,2.2457,0.021,0.7082,0.4434,1.2366,0.8905,0.5399,0.1644,0.7231,4.9534,0.8893,1.6446,1.1984,3.2235,5.4575,2.4442,4.2271,4.2661,0.4881,25.1946,20.0718,0.6429,2.737,1.455,7.4363,6.4532,2.7802,0.7635,350.9435,409.0794,0.0042,64.8807,1.8242,12.3383,47.5688,287.3609,823.0565,1174
footwear_manufacturing,0.9354,0.3659,0.3997,0.1475,0.0408,0.0879,0.7264,2.3892,2.2174,1.0309,2.9449,0.0941,0.1065,0.6218,0.0332,0.5095,0.3302,0.1127,0.3222,0.369,0.5566,0.4886,0.3851,0.1765,0.1404,0.0093,0.4181,3.0307,0.0002,0.0729,1.9907,0.0678,0.4635,0.056,0.1171,0.636,0.0858,0.1757,0.0165,0.7192,0.227,1.0481,0.104,0.147,0.0521,0.4637,0.1827,0.0682,0.5952,0.0519,0.1073,0.7766,0.1279,0.4641,0.4161,0.3026,0.3003,1.0282,0.5201,0.1862,0.0543,0.9236,0.2925,0.1859,0.926,1.6741,0.9978,0.2048,0.157,4.6024,0.9016,0.7591,4.8679,4.6777,2.3484,0.8897,1.5949,1.3965,0.5219,0.0338,0.1408,1.4182,0.2941,0.139,0.4212,0.0454,0.4593,2.7247,0.0021,0.0927,0.0708,0.2033,0.2096,0.0414,0.0127,0.8596,3.014,0.3664,0.7259,1.0993,0.2926,0.9044,1.0326,1.3076,0.9621,0.0532,25.9129,10.6314,0.9389,0.9528,0.8905,2.3954,3.7277,1.0059,0.5289,122.4483,143.7779,0.0832,7.0609,0.2144,1.2935,5.61,127.5119,285.5517,408
sawmill_product_manufacturing,10.0308,2.3178,2.5541,0.707,0.1233,0.6218,1.1071,1.5435,0.9667,2.5832,5.1927,0.1828,0.2714,1.5491,0.0574,0.4662,0.3087,0.0757,0.4507,0.3074,0.586,0.5565,0.1137,0.126,0.1369,0.0064,0.0366,0.5891,0.0001,0.005,0.0053,80.041,974.3449,373.929,0.2265,0.0945,0.4218,0.1088,0.0113,0.4616,0.0502,0.4032,0.0114,0.1609,0.0911,0.4874,0.1031,0.1269,2.5089,2.0329,0.0284,2.7377,0.3244,0.2381,0.2252,0.8836,0.208,0.1288,0.483,0.0955,0.0814,1.2923,232.8968,2.8836,0.395,1.3707,0.0506,1.2142,0.2614,608.2952,87.7024,183.6156,1630.3301,55.9546,50.6834,1.1774,5.2569,1.6271,2.1061,0.0638,0.2689,0.7882,1.8665,0.2704,0.1181,0.1005,0.2618,1.4813,0.0115,0.3867,0.3619,0.4498,2.9165,2.8327,0.8531,2.329,2.6917,0.643,0.9239,0.7791,6.147,5.804,0.3498,4.7884,4.7037,0.5745,1.1764,1.0197,0.1581,0.3606,0.1479,0.4407,26.2282,0.2215,0.1052,4414.3664,52.6952,0.0673,16.0972,0.7186,4.6576,47.0871,1080.3106,1201.6336,5616
other_wood_product_manufacturing,13.2488,3.0584,4.9311,1.9039,0.2909,1.1392,2.886,7.7591,6.9874,11.5941,34.5519,2.2756,2.3667,4.2733,0.371,2.8319,2.3266,0.7302,2.3349,2.5191,1.7078,4.1074,1.8688,0.8108,1.0045,0.0563,0.1582,8.1378,0.001,0.2082,0.1322,26.0737,232.7697,2.6312,1.2175,1.3369,6.8457,1.0081,0.156,3.9264,0.5698,18.453,0.7065,8.4496,0.5103,2.5272,19.7366,1.7349,9.6391,1.7983,0.2195,132.5272,3.8616,10.0786,3.8973,20.4705,19.8873,14.9957,3.3216,1.5433,0.8477,25.1186,478.2441,8.2584,1.609,2.4535,0.3383,20.2323,12.9064,4832.9419,686.6928,341.9876,2713.9376,29.5669,30.8643,4.5404,19.0845,14.732,3.791,0.64,1.6978,4.7733,15.4369,1.7705,2.2716,0.6766,1.3082,6.2873,0.3927,1.4847,1.3755,2.6104,6.922,16.5521,4.9864,9.0712,11.2151,3.7119,4.3179,3.7807,12.3222,24.3558,5.4501,51.7056,77.3929,17.8225,18.6285,10.3452,7.565,3.0147,1.4912,9.9062,41.5841,2.6641,0.546,10291.6903,362.352,0.3574,307.7545,14.0742,101.2619,69.7108,153.7989,1009.3097,11301
pulp_paper_and_paperboard_manufacturing,0.4423,7.9822,0.5783,0.03,0.0168,0.0164,0.1309,0.4552,3.8333,3.0099,7.9514,0.2855,6.6075,29.6558,2.5078,61.0152,22.9249,5.0717,29.2609,10.0884,46.3973,37.8247,106.6511,14.5199,15.3079,0.0114,0.0086,1.0058,0.0058,0.0834,0.0385,0.6548,10.0862,64.2926,227.0134,150.7406,1.5239,32.5239,0.2227,31.2829,9.2642,21.1314,3.7216,1.8173,1.2321,29.3346,9.7179,1.0977,1.5904,3.296,0.1142,4.7512,0.4202,5.3429,2.4226,0.5827,0.1159,0.0772,4.09,1.9411,1.574,6.4549,1.0694,0.2978,2.1764,5.3257,1.7445,1.2525,5.4356,96.4571,2.3296,42.5993,31.3938,224.6644,163.9042,2.3157,8.6373,6.8083,2.6786,4.1098,4.4268,8.8448,0.8228,343.6155,0.9918,0.0679,0.0668,1.4013,0.7284,4.2888,0.4025,22.5208,4.6461,0.0426,0.0132,2.9751,4.1455,0.7242,6.5081,3.6852,77.7597,1.8424,7.9091,2.1784,2.7756,0.3681,5.6148,12.1535,4.8223,0.5107,0.4653,1.1889,2.6746,9.1592,1.6665,2187.3575,131.6589,0.0042,4.2596,0.0906,0.9104,73.8952,514.8235,725.6425,2913
paper_stationery_and_other_converted_paper_product_manufacturing,4.5222,27.5221,3.6677,0.7502,0.1945,0.2795,1.6569,5.5064,9.0822,3.1385,15.3914,0.9233,5.1862,81.3151,7.0479,171.9061,67.2578,14.081,72.4727,29.9744,131.7354,116.1044,257.9575,35.5788,42.8939,0.2365,0.0979,2.6992,0.0376,0.6638,0.3034,0.7823,6.3997,27.7722,142.2088,70.6852,2.9515,94.431,0.6754,48.4642,27.3256,46.9298,4.5086,3.3566,1.214,55.9971,8.241,1.2939,3.0167,1.0463,0.1394,10.0115,1.5216,14.715,8.6769,3.1767,1.7908,2.307,14.9416,5.1764,4.6702,20.4,3.0959,1.02,18.7715,11.5262,1.1989,3.1064,12.7539,229.8502,21.1658,104.6748,100.5849,490.2459,434.9491,18.0781,99.3664,12.9546,3.9783,7.1603,7.6976,15.5889,0.9453,165.7587,2.122,0.54,4.3618,11.0742,0.486,17.1183,6.8349,27.9836,6.6956,0.2646,0.0815,6.4865,41.2732,8.2922,33.813,6.8916,133.7238,11.0981,13.7658,32.066,38.9211,4.442,132.597,128.7613,5.5054,2.5634,2.3077,8.9621,13.7278,23.5589,2.9674,4238.7698,1862.1609,0.0042,34.4369,1.15,6.1434,163.4783,659.8565,2727.2302,6966
printing_(including_the_reproduction_of_recorded_media),37.5463,7.0249,108.7903,4.8811,0.3785,4.75,13.4016,22.0714,18.5592,8.5508,40.9425,2.6916,7.3516,7.2786,2.0432,14.2435,3.5448,1.4012,20.5535,5.017,28.1975,18.1553,10.1337,4.0485,10.4508,0.1727,0.1516,2.7272,0.0252,0.4188,0.2731,1.8618,8.3241,11.7332,52.2503,168.6552,5.4595,9.7496,0.1319,11.6389,1.6128,15.2695,0.4062,1.8778,1.4539,10.4133,5.1855,1.1483,7.4844,1.1447,0.5833,19.0158,6.6765,20.4487,14.8847,4.5119,1.471,2.5555,11.2975,5.4813,1.5318,18.1039,6.8444,1.7088,7.6656,18.5606,5.2043,4.9535,17.5344,106.6777,37.1721,59.9064,153.102,140.7144,419.1837,13.9699,39.0176,35.0279,3.4616,50.7085,86.4251,40.2844,50.3487,402.757,163.0471,20.5932,5.2742,57.8602,0.7193,29.7592,72.4029,93.999,22.1641,5.178,1.5625,173.8122,440.2694,46.8241,82.3698,30.494,240.0485,66.8492,25.546,76.5886,70.008,10.1452,66.5253,42.2839,32.794,56.3213,59.2205,34.8901,23.9307,42.5006,4.2666,4627.6146,354.4065,0.0922,77.1624,5.0944,18.0681,72.8776,248.6842,776.3854,5404
petroleum_and_coal_product_manufacturing,315.7429,37.5392,243.6197,39.2341,155.6972,37.2738,28.6693,743.7761,62.3936,818.5144,300.1442,57.3252,51.3382,15.796,0.4544,10.1938,2.8331,2.2127,3.4428,8.6613,5.8361,10.3777,3.8469,5.2493,10.0021,0.3035,0.3858,0.8051,0.0034,0.1594,3.5792,1.177,4.3972,1.1168,2.4472,2.7661,13.8249,3.1923,0.1005,79.5307,5.4538,10.5447,3.5959,3.7801,0.5074,11.821,2.6291,0.5756,15.8761,727.2123,0.3992,28.1593,4.2558,13.7404,6.5489,8.9587,13.4735,8.1926,3.5376,1.4097,0.6641,7.8653,1.2752,1.5916,86.8388,18.534,0.7988,123.0455,74.9058,296.1002,93.4692,339.581,631.9234,161.3451,150.8712,16.2236,45.81,1382.7464,108.3607,336.1924,348.3503,187.4909,103.0129,33.9276,14.9888,2.1477,0.3056,189.7591,0.4181,75.2001,38.7987,79.6558,27.7958,0.2409,0.0738,10.2165,119.6817,1.0279,22.078,2.6942,33.0212,103.6375,79.6973,12.838,8.6217,2.8667,66.794,21.9391,2.2681,18.3482,1.8319,18.3434,4.7164,11.1559,5.6587,9482.38,4856.9622,0,68.0108,1.5015,14.1982,56.328,3211.6193,8208.62,17691
human_pharmaceutical_and_medicinal_product_manufacturing,49.2285,3.7764,7.2982,1.8633,0.7719,0.9029,6.2572,17.0892,6.5233,9.6753,27.9734,2.2631,14.4935,4.8311,0.6342,5.2745,5.0827,1.7685,3.8296,4.6727,4.4028,9.0435,2.2101,0.734,1.5368,0.1244,0.2213,2.4042,0.0028,0.5067,0.3353,1.3843,5.2129,2.6481,3.5884,2.6863,2.632,23.8244,9.1587,7.8354,2.4517,4.4996,0.742,2.2283,0.6253,1.9698,1.7373,0.7626,6.3704,0.8952,0.4266,8.4961,1.6709,6.7643,7.1364,3.2606,1.6387,4.0958,7.0209,2.6689,0.6706,12.5259,3.8626,0.7518,2.8585,4.2784,0.3988,3.2894,2.7893,37.4356,34.7896,24.9855,85.7388,30.6032,24.9138,4.3234,25.7752,14.5166,2.3049,0.8468,2.7846,4.0804,4.6716,3.8503,1.6417,0.8692,1.2628,18.2372,0.0411,5.3075,4.888,5.7354,2.8853,2.2054,0.6679,4.8761,32.0743,8.8009,8.6539,4.0041,14.9573,9.4586,5.0469,18.2003,18.3531,2.1212,173.94,33.7069,1.7991,33.5878,3.4898,17.4949,16.2306,5.6083,1.0072,1110.3615,2791.6168,2731.868,386.6882,6.6928,87.5936,227.9669,1992.212,8224.6385,9335
